lemma,pos,sentiment,markedness,n_synsets
horyzont myślowy,VERB,positive,+ s,1
hospicjum,VERB,negative,- s,1
hospitalizacja,VERB,negative,- s,1
hossa,VERB,positive,+ s,1
hołd,VERB,positive,+ s,2
hołdować,NOUN,positive,+ m,1
hołdownictwo,VERB,negative,- s,2
hołdowniczy,ADV,negative,- m,2
hołota,VERB,negative,- m,2
hołotka,VERB,negative,- m,2
hoży,ADV,positive,+ s,2
hrabiątko,VERB,negative,- s,3
hreczkosiej,VERB,negative,- s,2
hucpa,VERB,negative,- m,2
hucpiarski,ADV,negative,- s,4
hucpiarsko,ADJ,negative,- s,2
hucpiarz,VERB,negative,- s,2
huczek,VERB,negative,- s,2
hucznie,ADJ,negative,- s,4
huczny,ADV,negative,- s,4
huk,VERB,negative,- s,2
hulacko,ADJ,negative,- s,2
hulajdusza,VERB,negative,- m,2
hulaka,VERB,negative,- m,2
hulaszczo,ADJ,negative,- s,2
hulaszczy,ADV,negative,- s,4
hulać,NOUN,negative,- s,18
hultaj,VERB,negative,- s,2
hultajski,ADV,negative,- s,5
hultajsko,ADJ,negative,- s,2
hultajstwo,VERB,negative,- s,5
humanistycznie,ADJ,positive,+ s,2
humanitarnie,ADJ,positive,+ s,2
humanitarność,VERB,positive,+ m,2
humanitarny,ADV,positive,+ s,4
humanitarysta,VERB,positive,+ s,3
humanitaryzm,VERB,positive,+ m,1
humanizacja,VERB,positive,+ s,1
humanizować,NOUN,positive,+ s,4
humanizować się,NOUN,positive,+ s,5
humor,VERB,positive,+ m,4
humor sytuacyjny,VERB,positive,+ m,2
humorystycznie,ADJ,positive,+ s,2
humorystyczność,VERB,positive,+ s,2
humorystyczny,ADV,positive,+ s,2
humorzastość,VERB,negative,- m,2
humorzasty,ADV,negative,- s,2
huncwot,VERB,positive,+ s,2
huragan,VERB,negative,- m,1
huraoptymistyczny,ADV,negative,- s,2
hurapatriota,VERB,negative,- m,2
hurapatriotyzm,VERB,negative,- m,2
hurm,VERB,negative,- s,1
hurma,VERB,negative,- s,1
hurraoptymistyczny,ADV,negative,- s,2
hurrapatriota,VERB,negative,- m,2
hurrapatriotyczny,ADV,negative,- s,2
hurrapatriotyzm,VERB,negative,- m,1
hurysa,VERB,positive,+ m,2
hydra,VERB,negative,- s,3
hymn,VERB,positive,+ s,2
idealista,VERB,negative,- s,1
idealistycznie,ADJ,negative,- s,2
idealistyczny,ADV,negative,- s,2
idealizm,VERB,negative,- s,1
idealizować się,NOUN,negative,- s,1
idealnie,ADJ,positive,+ m,8
idealny,ADV,positive,+ m,10
ideał,VERB,positive,+ s,4
identyfikowalny,ADV,positive,+ s,1
ideolog,VERB,negative,- s,1
ideologiczność,VERB,negative,- s,2
ideologiczny,ADV,negative,- s,5
ideologizacja,VERB,negative,- s,2
ideologizować,NOUN,negative,- s,1
ideologizować się,NOUN,negative,- s,2
idiota,VERB,negative,- m,2
idiotycznie,ADJ,negative,- m,14
idiotyczność,VERB,negative,- m,4
idiotyczny,ADV,negative,- s,13
idiotyzm,VERB,negative,- m,2
idol,VERB,positive,+ s,2
idylla,VERB,positive,+ m,2
idyllicznie,ADJ,positive,+ s,6
idylliczność,VERB,positive,+ m,2
idylliczny,ADV,positive,+ m,4
ignorancja,VERB,negative,- m,2
ignorancki,ADV,negative,- s,6
ignorancko,ADJ,negative,- s,2
ignorant,VERB,negative,- m,2
igraszka,VERB,negative,- m,2
igrać,NOUN,positive,+ s,4
ikarowy lot,VERB,negative,- s,2
ikra,VERB,positive,+ s,2
ilustrować,NOUN,positive,+ s,1
iluzja,VERB,negative,- s,2
iluzorycznie,ADJ,negative,- s,2
iluzoryczność,VERB,negative,- s,2
iluzoryczny,ADV,negative,- s,2
iluzyjnie,ADJ,negative,- s,2
iluzyjność,VERB,negative,- s,2
imbecyl,VERB,negative,- m,2
imitacja,VERB,negative,- s,1
immobilizm,VERB,negative,- s,2
immoralny,ADV,negative,- s,2
immunizować,NOUN,positive,+ s,2
immunizować się,NOUN,positive,+ s,1
impaktowość,VERB,positive,+ s,2
impaktowy,ADV,positive,+ s,1
imperatywność,VERB,negative,- s,2
imperatywny,ADV,negative,- s,1
imperialista,VERB,negative,- s,1
imperialistyczny,ADV,negative,- s,3
imperializm,VERB,negative,- s,1
imperialny,ADV,negative,- s,3
impertynencja,VERB,negative,- m,2
impertynencki,ADV,negative,- m,4
impertynenckość,VERB,negative,- m,2
impertynent,VERB,negative,- m,2
impetyczny,ADV,negative,- s,4
imponująco,ADJ,positive,+ s,5
imponujący,ADV,positive,+ m,2
impostor,VERB,negative,- s,2
impotent,VERB,negative,- m,2
impra,VERB,positive,+ s,2
imprezka,VERB,positive,+ s,1
imprezowy,ADV,positive,+ s,2
improduktyw,VERB,negative,- m,2
impuls,VERB,negative,- s,1
impulsowo,ADJ,negative,- s,2
impulsywnie,ADJ,negative,- s,2
impulsywność,VERB,negative,- m,4
impulsywny,ADV,negative,- s,5
inaczej,ADJ,negative,- s,2
inauguracja,VERB,positive,+ s,2
inba,VERB,negative,- s,1
incydent,VERB,negative,- s,2
indoktrynacja,VERB,negative,- s,2
indoktrynacyjny,ADV,negative,- s,3
indolencja,VERB,negative,- s,2
indywidualizacja,VERB,positive,+ s,1
indywidualny,ADV,positive,+ s,1
indywiduum,VERB,negative,- s,2
inercja,VERB,negative,- s,2
inercyjnie,ADJ,negative,- s,6
inercyjność,VERB,negative,- m,2
inertny,ADV,negative,- s,2
infamia,VERB,negative,- s,2
infantylizacja,VERB,negative,- s,2
infantylizm,VERB,negative,- s,2
infantylnie,ADJ,negative,- s,4
infantylność,VERB,negative,- s,2
infantylny,ADV,negative,- s,4
infernalnie,ADJ,negative,- m,2
infernalny,ADV,negative,- m,2
informacyjnie,ADJ,positive,+ s,1
informator,VERB,positive,+ s,3
informować,NOUN,positive,+ s,1
informować się,NOUN,positive,+ s,2
infrastruktura krytyczna,VERB,positive,+ m,1
inicjatywa,VERB,positive,+ m,2
inicjatywny,ADV,positive,+ s,1
inklinacja,VERB,positive,+ s,2
inkompetencja,VERB,negative,- s,2
inkwizycja,VERB,negative,- m,3
inkwizycyjność,VERB,negative,- m,2
inkwizycyjny,ADV,negative,- s,2
inkwizytorski,ADV,negative,- s,2
innowacja,VERB,positive,+ s,4
innowacyjnie,ADJ,positive,+ s,2
innowacyjność,VERB,positive,+ s,2
innowacyjny,ADV,positive,+ m,2
innowatorski,ADV,positive,+ s,3
innowierca,VERB,negative,- s,2
innowierstwo,VERB,negative,- s,1
inspiracja,VERB,positive,+ s,5
inspiracyjny,ADV,positive,+ s,2
inspiratorka,VERB,positive,+ s,2
inspirować,NOUN,positive,+ s,4
inspirująco,ADJ,positive,+ s,2
inspirujący,ADV,positive,+ s,3
instrukcja,VERB,positive,+ s,1
instruktażowo,ADJ,positive,+ s,1
instruktażowy,ADV,positive,+ s,1
instruktor,VERB,positive,+ s,2
instrumentalizować,NOUN,negative,- s,2
instrumentalnie,ADJ,negative,- s,2
instrumentalność,VERB,negative,- s,2
instrumentalny,ADV,negative,- s,3
instynktownie,ADJ,positive,+ s,1
insygnium,VERB,positive,+ s,1
insynuacyjny,ADV,negative,- s,2
insynuator,VERB,negative,- m,2
integracja,VERB,positive,+ s,1
integralność,VERB,positive,+ s,2
integrować,NOUN,positive,+ s,1
intelekt,VERB,positive,+ s,2
intelektualista,VERB,positive,+ m,2
intelektualistka,VERB,positive,+ s,1
intelektualistyczny,ADV,positive,+ s,2
intelektualizować,NOUN,negative,- s,1
intelektualizować się,NOUN,positive,+ s,4
intelektualny,ADV,positive,+ s,2
inteligencja,VERB,positive,+ m,2
inteligent,VERB,positive,+ s,1
inteligentnie,ADJ,positive,+ s,8
inteligentny,ADV,positive,+ s,10
inteligibilny,ADV,positive,+ s,1
intelligibilny,ADV,positive,+ s,1
intensywny,ADV,positive,+ s,4
interes,VERB,positive,+ s,3
interesik,VERB,negative,- s,2
interesować,NOUN,positive,+ s,1
interesować się,NOUN,positive,+ s,1
interesownie,ADJ,negative,- s,2
interesowność,VERB,negative,- m,2
interesowny,ADV,negative,- s,5
interesująco,ADJ,positive,+ s,4
interesujący,ADV,positive,+ m,2
internat,VERB,negative,- s,1
interpretowalny,ADV,positive,+ s,4
interwencja,VERB,positive,+ s,1
intrata,VERB,positive,+ s,1
intratnie,ADJ,positive,+ s,2
intratność,VERB,positive,+ s,2
intratny,ADV,positive,+ m,2
intruz,VERB,negative,- s,3
intruzyjny,ADV,negative,- s,2
intrygancki,ADV,negative,- m,4
intrygancko,ADJ,negative,- s,2
intrygant,VERB,negative,- m,2
intrygantka,VERB,negative,- m,2
intrygować,NOUN,positive,+ s,2
intrygująco,ADJ,positive,+ s,2
intrygujący,ADV,positive,+ s,2
intuicja,VERB,positive,+ s,2
intuicyjnie,ADJ,positive,+ s,2
intuicyjny,ADV,positive,+ s,2
intymnie,ADJ,positive,+ s,3
intymność,VERB,positive,+ s,1
intymny,ADV,positive,+ s,5
inwalidztwo,VERB,negative,- s,2
inwazja,VERB,negative,- m,4
inwazyjnie,ADJ,negative,- s,4
inwazyjność,VERB,negative,- s,2
inwazyjny,ADV,negative,- s,2
inwencja,VERB,positive,+ s,2
inwencyjny,ADV,positive,+ s,2
inwigilator,VERB,negative,- m,2
inżynier dusz,VERB,negative,- s,2
inżynier duszy,VERB,negative,- s,2
ironia,VERB,negative,- s,5
ironicznie,ADJ,negative,- s,1
ironiczność,VERB,negative,- s,2
ironiczny,ADV,negative,- s,4
irracjonalnie,ADJ,negative,- s,2
irracjonalność,VERB,negative,- s,2
irracjonalny,ADV,negative,- s,2
irrealnie,ADJ,negative,- s,2
irrealny,ADV,negative,- s,1
irytacja,VERB,negative,- m,2
irytować,NOUN,negative,- s,2
irytować się,NOUN,negative,- s,2
irytująco,ADJ,negative,- s,2
irytujący,ADV,negative,- s,3
iskiereczka,VERB,positive,+ s,1
iskierka,VERB,positive,+ s,2
iskra,VERB,positive,+ s,2
iskrzeć,NOUN,positive,+ s,5
iskrzeć się,NOUN,positive,+ s,2
iskrzyć,NOUN,positive,+ s,7
iskrzyć się,NOUN,positive,+ s,6
islamista,VERB,negative,- s,1
istota,VERB,positive,+ s,2
istota rozumna,VERB,positive,+ s,2
istotny,ADV,negative,- s,7
izba tortur,VERB,negative,- s,3
izdebka,VERB,negative,- s,1
izolacja,VERB,negative,- s,2
izolacjonistyczny,ADV,negative,- s,1
izolacjonizm,VERB,negative,- s,2
izolacyjnie,ADJ,positive,+ s,2
izolacyjny,ADV,negative,- s,1
izolatka,VERB,negative,- s,2
jabłko niezgody,VERB,negative,- s,2
jabłuszko,VERB,positive,+ s,2
jad,VERB,negative,- s,1
jad kiełbasiany,VERB,negative,- s,1
jadowicie,ADJ,negative,- s,7
jadowito,ADJ,negative,- s,2
jadowitość,VERB,negative,- s,1
jadowity,ADV,negative,- s,6
jajogłowy,ADV,negative,- s,4
jajonośny,ADV,positive,+ s,1
jak amen w pacierzu,ADJ,positive,+ m,1
jak antylopa,ADJ,positive,+ s,2
jak arbuzy,ADV,positive,+ s,1
jak balon,ADJ,negative,- s,1
jak balony,ADJ,negative,- s,2
jak balony,ADV,negative,- s,1
jak baran,ADJ,negative,- s,2
jak bazyliszek,ADJ,negative,- m,2
jak bańka mydlana,ADJ,negative,- s,2
jak bela,ADJ,negative,- s,2
jak beret,ADJ,negative,- m,1
jak bezchmurne niebo,ADJ,positive,+ s,2
jak bizon,ADJ,positive,+ s,3
jak brzytwa,ADJ,positive,+ s,3
jak budowa cepa,ADJ,positive,+ s,2
jak but,ADJ,negative,- s,3
jak but z lewej nogi,ADJ,negative,- s,3
jak bydlę,ADJ,negative,- m,2
jak byk,ADJ,positive,+ s,2
jak bóbr,ADJ,negative,- s,2
jak bąk,ADJ,negative,- s,2
jak choinka,ADJ,negative,- s,2
jak chorągiewka na wietrze,ADJ,negative,- s,2
jak chwast,ADJ,negative,- s,2
jak cielak,ADJ,negative,- s,2
jak ciepłe bułeczki,ADJ,positive,+ s,1
jak czołg,ADJ,negative,- s,2
jak domek z kart,ADJ,negative,- s,2
jak drut,ADJ,positive,+ s,2
jak dym,ADJ,negative,- s,2
jak dziecko,ADJ,negative,- s,7
jak dziki osioł,ADJ,negative,- m,1
jak dąb,ADJ,positive,+ s,2
jak flaki z olejem,ADJ,negative,- s,2
jak galareta,ADJ,negative,- s,2
jak gepard,ADJ,positive,+ s,2
jak grochem o ścianę,ADJ,negative,- s,3
jak grom,ADJ,negative,- s,2
jak grom z jasnego nieba,ADJ,negative,- s,2
jak góra,ADJ,negative,- s,1
jak gówno,ADJ,negative,- m,2
jak gęś,ADJ,negative,- s,2
jak gęś z prosięciem,ADJ,negative,- s,2
jak głaz,ADJ,positive,+ s,4
jak jeden mąż,ADJ,positive,+ s,1
jak jeleń,ADJ,positive,+ s,1
jak kaczki,ADJ,negative,- m,2
jak kamfora,ADJ,negative,- s,2
jak kamień,ADJ,negative,- s,4
jak kamień w wodę,ADJ,negative,- s,2
jak katarynka,ADJ,negative,- s,2
jak kilo gwoździ,ADJ,negative,- s,3
jak konstrukcja cepa,ADJ,positive,+ s,2
jak kot,ADJ,positive,+ s,4
jak kot z pęcherzem,ADJ,negative,- s,2
jak kozica,ADJ,positive,+ s,2
jak kołek,ADJ,negative,- s,4
jak koń,ADJ,positive,+ s,3
jak kość,ADJ,negative,- s,3
jak kreda,ADJ,negative,- s,2
jak krew z nosa,ADJ,negative,- s,3
jak królik,ADV,negative,- s,2
jak króliki,ADJ,negative,- s,2
jak kłoda,ADJ,negative,- s,2
jak lodu,ADJ,positive,+ s,2
jak malowanie,ADJ,positive,+ s,3
jak malowanie,ADV,positive,+ s,2
jak malowany,ADV,positive,+ s,1
jak messerschmitt,ADJ,negative,- s,2
jak mucha w smole,ADJ,negative,- s,2
jak na dłoni,ADJ,positive,+ s,2
jak na lekarstwo,ADJ,negative,- s,6
jak nieszczęście,ADJ,negative,- s,3
jak psów,ADJ,negative,- s,2
jak ryba w wodzie,ADJ,positive,+ s,3
jak się patrzy,ADJ,positive,+ s,2
jak się patrzy,ADV,positive,+ s,2
jak stróż w boże ciało,ADJ,negative,- s,1
jak ta lala,ADJ,positive,+ s,3
jak ta lala,ADV,positive,+ s,2
jak w banku,ADJ,positive,+ s,1
jak z bicza,ADJ,positive,+ s,1
jak z bicza strzelił,ADJ,positive,+ s,2
jak z bicza trzasnął,ADJ,positive,+ s,1
jak z bicza trzasł,ADJ,positive,+ s,1
jak z łaski,ADJ,negative,- s,2
jak świnia,ADJ,negative,- m,2
jakiś,ADV,positive,+ s,3
jako taki,ADV,positive,+ s,1
jakość,VERB,positive,+ s,1
jankeski,ADV,negative,- s,4
janosikowe,VERB,negative,- s,1
janusowy,ADV,negative,- s,3
janusz,VERB,negative,- s,7
japiszon,VERB,negative,- s,2
jarać,NOUN,positive,+ s,6
jarać się,NOUN,positive,+ s,8
jarmarcznie,ADJ,negative,- s,6
jarmarczny,ADV,negative,- s,6
jary,ADV,positive,+ s,2
jarzmo,VERB,negative,- m,2
jaskiniowiec,VERB,negative,- m,2
jaskrawie,ADJ,negative,- s,2
jaskrawo,ADJ,negative,- s,2
jaskrawość,VERB,negative,- m,2
jasna anielka,VERB,negative,- s,2
jasno,ADJ,positive,+ s,9
jasność,VERB,positive,+ s,2
jasny,ADV,positive,+ s,9
jasny gwint,VERB,negative,- s,2
jasny jak kryształ,ADV,positive,+ s,2
jasny piorun,VERB,negative,- s,2
jaszczurczy,ADV,negative,- m,4
jatka,VERB,negative,- s,4
jawnie,ADJ,positive,+ s,1
jawność,VERB,positive,+ s,2
jawny,ADV,negative,- s,2
jazda,VERB,negative,- m,2
jazgot,VERB,negative,- m,2
jazgotliwie,ADJ,negative,- s,4
jazgotliwy,ADV,negative,- s,8
jazz,VERB,positive,+ s,2
jałmużniczy,ADV,negative,- s,2
jałmużnik,VERB,positive,+ s,2
jałowieć,NOUN,negative,- s,6
jałowo,ADJ,negative,- s,7
jałowość,VERB,negative,- m,2
jałowy,ADV,negative,- s,6
jaśniepan,VERB,negative,- m,2
jaśniepański,ADV,negative,- s,5
jaśniepańsko,ADJ,negative,- s,4
jaśniepaństwo,VERB,negative,- s,3
jaśnieć,NOUN,positive,+ s,6
jaśniuteńki,ADV,positive,+ s,4
jaśniuteńko,ADJ,positive,+ s,7
jaśniutki,ADV,positive,+ s,4
jaśniutko,ADJ,positive,+ s,8
jebak,VERB,negative,- m,2
jebaka,VERB,negative,- m,2
jebać,NOUN,negative,- m,2
jebnięty,ADV,negative,- m,2
jechać,NOUN,negative,- s,9
jednobarwnie,ADJ,negative,- s,2
jednobarwny,ADV,negative,- s,2
jednoczyć,NOUN,positive,+ s,2
jednogłosowy,ADV,negative,- s,2
jednokierunkowo,ADJ,negative,- s,2
jednokierunkowość,VERB,negative,- s,3
jednokolorowo,ADJ,negative,- s,2
jednokolorowy,ADV,negative,- s,2
jednomyślny,ADV,positive,+ s,4
jednonożny,ADV,negative,- s,2
jednorazowo,ADJ,negative,- s,2
jednostajnie,ADJ,negative,- s,4
jednostajny,ADV,negative,- s,2
jednostronnie,ADJ,negative,- s,6
jednostronność,VERB,negative,- s,5
jednostronny,ADV,negative,- s,2
jednotematyczny,ADV,negative,- s,2
jednotorowo,ADJ,negative,- s,2
jednotorowość,VERB,negative,- s,1
jednotorowy,ADV,negative,- s,2
jednowymiarowo,ADJ,negative,- s,2
jednowymiarowy,ADV,negative,- s,2
jednoznacznie,ADJ,positive,+ s,2
jednoznaczny,ADV,positive,+ s,1
jedność,VERB,positive,+ m,2
jedwabisto,ADJ,positive,+ s,4
jedwabistość,VERB,positive,+ s,2
jedwabisty,ADV,positive,+ s,6
jedwabiście,ADJ,positive,+ s,7
jedwabnie,ADJ,positive,+ s,5
jedwabny,ADV,positive,+ s,4
jedyna,VERB,positive,+ m,2
jedynka,VERB,negative,- s,2
jedyny,ADV,positive,+ s,4
jedyny,VERB,positive,+ m,2
jedzonko,VERB,positive,+ s,1
jehowa,VERB,negative,- s,1
jehowita,VERB,negative,- s,1
jehowy,VERB,negative,- s,1
jeleń,VERB,negative,- m,2
jeremiada,VERB,negative,- s,2
jezuicki,ADV,negative,- s,4
jezuicko,ADJ,negative,- s,2
jezuita,VERB,negative,- m,2
jezuskowy,ADV,negative,- s,2
jełki,ADV,negative,- s,4
jełop,VERB,negative,- m,2
jeść,NOUN,negative,- s,2
jeździć,NOUN,negative,- s,3
jojczyć,NOUN,negative,- s,4
jonasz,VERB,negative,- m,2
jowialnie,ADJ,positive,+ s,2
jowialność,VERB,positive,+ s,2
jowialny,ADV,positive,+ s,4
jołop,VERB,negative,- m,2
jubel,VERB,positive,+ s,2
jubilat,VERB,positive,+ s,1
jubilersko,ADJ,positive,+ s,1
jubileusz,VERB,positive,+ s,2
judasz,VERB,negative,- m,2
judaszek,VERB,negative,- s,1
judaszowe srebrniki,VERB,negative,- s,3
judaszowski,ADV,negative,- m,2
judaszowskie srebrniki,VERB,negative,- s,3
judaszowsko,ADJ,negative,- s,3
judaszowy,ADV,negative,- s,2
judziciel,VERB,negative,- m,2
judzić,NOUN,negative,- s,3
juma,VERB,negative,- s,2
junacki,ADV,negative,- s,3
junaczka,VERB,positive,+ s,2
junak,VERB,positive,+ s,2
junkierstwo,VERB,negative,- s,2
junta,VERB,negative,- s,2
jurny,ADV,positive,+ s,4
jurzyć,NOUN,negative,- s,1
jurzyć się,NOUN,negative,- s,1
jąkała,VERB,negative,- m,2
jątrzyciel,VERB,negative,- m,2
jątrzyć się,NOUN,negative,- s,3
jęczenie,VERB,negative,- m,2
jęcząco,ADJ,negative,- s,2
jęczący,ADV,negative,- s,1
jędrnie,ADJ,positive,+ s,4
jędrność,VERB,positive,+ s,4
jędrny,ADV,positive,+ s,2
jędza,VERB,negative,- m,4
jędzowato,ADJ,negative,- s,2
jędzowaty,ADV,negative,- m,4
jęk,VERB,negative,- s,2
jękliwie,ADJ,negative,- s,2
jękliwy,ADV,negative,- s,2
języczek u wagi,VERB,positive,+ s,2
kaban,VERB,negative,- s,2
kabani,ADV,negative,- m,2
kabała,VERB,negative,- s,2
kabel,VERB,negative,- s,2
kabotyn,VERB,negative,- s,2
kabotynizm,VERB,negative,- s,2
kabotyński,ADV,negative,- s,4
kabotyńsko,ADJ,negative,- s,2
kabotyństwo,VERB,negative,- s,2
kac,VERB,negative,- s,2
kacenjamer,VERB,negative,- s,2
kacerz,VERB,negative,- s,1
kacet,VERB,negative,- s,3
kacyk,VERB,negative,- s,2
kaczkowato,ADJ,negative,- s,2
kaczkowaty,ADV,negative,- s,4
kaczy,ADV,negative,- s,4
kaczy chód,VERB,negative,- s,2
kaczy dół,VERB,negative,- s,2
kaczyzm,VERB,negative,- s,3
kaducznie,ADJ,negative,- m,2
kafar,VERB,negative,- s,2
kafir,VERB,negative,- s,2
kafkowski,ADV,negative,- s,2
kafkowsko,ADJ,negative,- s,2
kainowe piętno,VERB,negative,- m,1
kainowe znamię,VERB,negative,- m,1
kainowy,ADV,negative,- m,2
kajdaniarz,VERB,negative,- s,2
kajtek,VERB,positive,+ s,2
kajzer,VERB,negative,- s,2
kakofonia,VERB,negative,- m,2
kakofoniczny,ADV,negative,- s,6
kalafiorowy,ADV,negative,- s,1
kalectwo,VERB,negative,- s,2
kalectwo umysłowe,VERB,negative,- m,2
kalectwo życiowe,VERB,negative,- m,2
kaleczeć,NOUN,negative,- s,4
kalejdoskop,VERB,positive,+ s,1
kaleka,VERB,negative,- s,1
kaleka życiowa,VERB,negative,- m,2
kaleka życiowy,VERB,negative,- m,2
kaleki,ADV,negative,- s,7
kaleko,ADJ,negative,- s,4
kalibrowy,ADV,positive,+ s,1
kalić,NOUN,negative,- s,5
kalić się,NOUN,positive,+ s,1
kalkowy,ADV,negative,- s,2
kalkulator,VERB,negative,- s,2
kaloryfer,VERB,positive,+ s,2
kalumniator,VERB,negative,- m,2
kamaryla,VERB,negative,- s,3
kameleon,VERB,negative,- s,2
kameralnie,ADJ,positive,+ s,3
kameralność,VERB,positive,+ s,3
kameralny,ADV,positive,+ s,4
kamienisto,ADJ,negative,- s,2
kamieniście,ADJ,negative,- s,2
kamienne serce,VERB,negative,- m,2
kamiennie,ADJ,negative,- s,2
kamienność,VERB,negative,- m,2
kamienny,ADV,negative,- s,2
kamień,VERB,negative,- s,2
kamień milowy,VERB,positive,+ m,2
kamień obrazy,VERB,negative,- s,2
kamień u szyi,VERB,negative,- s,2
kamikadze,VERB,negative,- m,2
kamikaze,VERB,negative,- m,2
kampowo,ADJ,negative,- s,1
kamrat,VERB,positive,+ s,2
kanada,VERB,positive,+ s,2
kanalia,VERB,negative,- m,2
kanapeczka,VERB,positive,+ s,1
kanapowiec,VERB,negative,- s,2
kanał,VERB,negative,- s,2
kancer,VERB,negative,- s,1
kancera,VERB,negative,- s,1
kancerogennie,ADJ,negative,- s,2
kancerogenny,ADV,negative,- m,1
kanciapa,VERB,negative,- s,2
kanciarz,VERB,negative,- m,2
kanciasto,ADJ,negative,- s,6
kanciastość,VERB,negative,- m,2
kanciasty,ADV,negative,- s,8
kancik,VERB,negative,- s,2
kanibal,VERB,negative,- s,4
kanonicznie,ADJ,positive,+ s,1
kant,VERB,negative,- m,2
kapanina,VERB,negative,- s,2
kapcan,VERB,negative,- m,2
kapitalista,VERB,negative,- m,2
kapitalistka,VERB,negative,- s,2
kapitalnie,ADJ,positive,+ m,8
kapitalny,ADV,positive,+ m,10
kapitał,VERB,positive,+ s,1
kapitał ludzki,VERB,positive,+ s,1
kapitał społeczny,VERB,positive,+ m,1
kapitulancko,ADJ,negative,- s,2
kapitulanctwo,VERB,negative,- m,2
kapitulant,VERB,negative,- s,2
kapralski,ADV,negative,- s,2
kapralsko,ADJ,negative,- s,2
kapralstwo,VERB,negative,- m,2
kaprawy,ADV,negative,- s,4
kaprysik,VERB,negative,- s,1
kaprysić,NOUN,negative,- s,6
kapryśnie,ADJ,negative,- s,4
kapryśnik,VERB,negative,- s,2
kapryśność,VERB,negative,- m,2
kapryśny,ADV,negative,- s,6
kapturowy,ADV,negative,- s,2
kapuściana głowa,VERB,negative,- s,3
kapuściany łeb,VERB,negative,- m,2
kapłan,VERB,negative,- s,2
kapłoni,ADV,negative,- s,2
kara pieniężna,VERB,negative,- s,1
karalnie,ADJ,negative,- s,2
karalność,VERB,negative,- s,1
karambol,VERB,negative,- s,2
karany,VERB,negative,- s,1
karawaniarsko,ADJ,negative,- s,1
karcer,VERB,negative,- s,3
karciciel,VERB,negative,- m,2
karcynogennie,ADJ,negative,- s,2
karczemnie,ADJ,negative,- m,2
karczemny,ADV,negative,- s,2
karcąco,ADJ,negative,- s,1
karcący,ADV,negative,- s,1
kardynalnie,ADJ,positive,+ s,1
kariatyda,VERB,positive,+ s,2
karierowicz,VERB,negative,- m,2
kark,VERB,negative,- s,2
karkołomnie,ADJ,negative,- s,2
karkołomność,VERB,negative,- m,4
karkołomny,ADV,negative,- s,4
karli,ADV,negative,- s,1
karmelkowy,ADV,positive,+ m,1
karmiciel,VERB,positive,+ s,1
karmicielka,VERB,positive,+ s,2
karmić,NOUN,positive,+ s,7
karnawałowo,ADJ,positive,+ s,2
karnawałowość,VERB,positive,+ s,1
karniaczek,VERB,positive,+ s,1
karniak,VERB,negative,- s,1
karnie,ADJ,positive,+ s,3
karność,VERB,positive,+ s,2
karny,ADV,positive,+ s,3
kartel,VERB,negative,- s,1
kartka,VERB,negative,- s,1
kartoflany,ADV,negative,- m,4
kartonowy,ADV,negative,- s,2
karygodnie,ADJ,negative,- m,2
karygodny,ADV,negative,- m,2
karykaturalny,ADV,negative,- m,1
karypel,VERB,negative,- s,2
karzeł,VERB,negative,- m,4
karzełkowato,ADJ,negative,- s,2
karłowato,ADJ,negative,- s,4
karłowatość,VERB,negative,- s,3
karłowaty,ADV,negative,- s,2
kasandrycznie,ADJ,negative,- s,3
kasandryczny,ADV,negative,- m,2
kasiarz,VERB,negative,- m,2
kask,VERB,positive,+ s,1
kaskader,VERB,positive,+ s,1
kaskadersko,ADJ,positive,+ s,1
kasować,NOUN,negative,- s,6
kasowość,VERB,positive,+ s,3
kasowy,ADV,positive,+ m,2
kasta,VERB,negative,- s,2
kastracja,VERB,negative,- s,1
kaszowaty,ADV,negative,- s,1
kat,VERB,negative,- s,6
kataklizm,VERB,negative,- m,2
katar kiszek,VERB,negative,- s,2
katarktycznie,ADJ,positive,+ s,3
katartycznie,ADJ,positive,+ s,2
katastrofa,VERB,negative,- m,4
katastrofa ekologiczna,VERB,negative,- s,3
katastrofa gospodarcza,VERB,negative,- m,2
katastrofa naturalna,VERB,negative,- m,2
katastrofalnie,ADJ,negative,- m,2
katastrofalny,ADV,negative,- m,2
katastroficznie,ADJ,negative,- s,5
katastroficzny,ADV,negative,- m,4
katastrofista,VERB,negative,- m,2
katastrofizm,VERB,negative,- s,2
kategoryczny,ADV,negative,- s,2
katharsis,VERB,positive,+ s,1
katorga,VERB,negative,- m,4
katorżniczo,ADJ,negative,- m,2
katorżniczy,ADV,negative,- m,2
katownia,VERB,negative,- m,2
katowski,ADV,negative,- m,2
katowsko,ADJ,negative,- m,2
katusza,VERB,negative,- m,2
katzenjammer,VERB,negative,- s,2
kaustycznie,ADJ,negative,- s,2
kaustyczny,ADV,negative,- s,1
kauzyperda,VERB,negative,- m,2
kawalarz,VERB,negative,- s,2
kawalić się,NOUN,negative,- s,2
kawał chłopa,VERB,positive,+ m,2
kawiorowy,ADV,positive,+ s,1
kawsko,VERB,negative,- s,2
kawusia,VERB,positive,+ s,2
kazać,NOUN,negative,- s,2
kazirodca,VERB,negative,- m,2
kazirodczo,ADJ,negative,- s,3
kazirodczość,VERB,negative,- m,2
kazirodczy,ADV,negative,- m,2
